z,t,k,N1,N2,utl1,utl2
['01341'],3,100,10000,5000,1.157290631952983,1.0
['01342'],3,100,10000,5000,1.1793375111057078,1.0
['01343'],3,100,10000,5000,1.1133748105090293,1.0
['01344'],3,100,10000,5000,1.1215595426234284,2.0
['01345'],3,100,10000,5000,1.108986195791573,1.0
['01350'],3,100,10000,5000,1.5449584247129708,1.0
['01351'],3,100,10000,5000,1.1664098250805557,1.0
['01352'],3,100,10000,5000,1.1763327716338048,1.0
['01353'],3,100,10000,5000,1.12458910438721,1.0
['01354'],3,100,10000,5000,1.1230284211945543,2.0
['01355'],3,100,10000,5000,1.1337570967993145,1.0
['01400'],3,100,10000,5000,2.8195515957253714,1.0
['01401'],3,100,10000,5000,2.6365120919508374,1.0
['01402'],3,100,10000,5000,2.6702125152129317,1.0
['01403'],3,100,10000,5000,2.5803820556762496,1.0
['01404'],3,100,10000,5000,2.6199941626632692,2.0
['01405'],3,100,10000,5000,2.556811180312133,1.0
['01410'],3,100,10000,5000,1.9239575439906464,1.0
['01411'],3,100,10000,5000,1.326626783068069,1.0
['01412'],3,100,10000,5000,1.34479888507049,1.0
['01413'],3,100,10000,5000,1.2169622726144154,1.0
['01414'],3,100,10000,5000,1.2377733264834114,2.0
['01415'],3,100,10000,5000,1.2183257676213628,1.0
['01420'],3,100,10000,5000,2.1048930858711623,1.0
['01421'],3,100,10000,5000,1.3499436832527167,1.0
['01422'],3,100,10000,5000,1.4195065503469342,1.0
['01423'],3,100,10000,5000,1.2366040202038182,1.0
['01424'],3,100,10000,5000,1.2682728299326425,2.0
['01425'],3,100,10000,5000,1.222431559609612,1.0
['01430'],3,100,10000,5000,1.7027006680329195,2.0
['01431'],3,100,10000,5000,1.1767013306342051,2.0
['01432'],3,100,10000,5000,1.193840360554773,2.0
['01433'],3,100,10000,5000,1.132468728325582,2.0
['01434'],3,100,10000,5000,1.1365268885774633,3.0
['01435'],3,100,10000,5000,1.1262893883731888,2.0
['01440'],3,100,10000,5000,1.8690659317170715,1.0
['01441'],3,100,10000,5000,1.2063736720947595,1.0
['01442'],3,100,10000,5000,1.237739192151567,1.0
['01443'],3,100,10000,5000,1.1421561627268548,1.0
['01444'],3,100,10000,5000,1.1634360495150042,2.0
['01445'],3,100,10000,5000,1.1345221598840742,1.0
['01450'],3,100,10000,5000,1.581797274061956,1.0
['01451'],3,100,10000,5000,1.1880188952492325,1.0
['01452'],3,100,10000,5000,1.188495285080162,1.0
['01453'],3,100,10000,5000,1.1368329646314714,1.0
['01454'],3,100,10000,5000,1.139999962454288,2.0
['01455'],3,100,10000,5000,1.1460970432005648,1.0
