ratio,res,res_std_plus,res_std_minus,z_star_arr
7.1,8.113383431902111,8.220017221195146,8.006749642609076,['00000']
7.2,8.239833172561028,8.344742585025383,8.134923760096672,['00000']
7.3,8.208106092559508,8.314038449356405,8.10217373576261,['00000']
7.4,8.184213835645236,8.290534678930332,8.077892992360141,['00000']
7.5,8.143791828182762,8.250698498712653,8.03688515765287,['00000']
7.6,8.154427232145474,8.260555114467666,8.048299349823283,['00000']
7.7,8.202360166695009,8.307698808727826,8.09702152466219,['00000']
7.8,8.122268195065498,8.229460822210655,8.015075567920341,['00000']
7.9,8.132291035679373,8.239303831864875,8.02527823949387,['00000']
8.0,8.116994505767076,8.224202076490519,8.009786935043634,['00000']
8.1,8.141410777750039,8.247486075064877,8.0353354804352,['00000']
8.2,8.179607681697126,8.286204407570901,8.073010955823351,['00000']
8.3,8.175326500593382,8.281429832678441,8.069223168508323,['00000']
8.4,8.150213839185957,8.255877953730497,8.044549724641417,['00000']
8.5,8.04262867859119,8.149892319964632,7.935365037217746,['00000']
8.6,8.251364855875794,8.356047194383065,8.146682517368523,['00000']
8.7,8.121233669911977,8.228187932442662,8.014279407381292,['00000']
8.8,8.140968090683339,8.248263954067685,8.033672227298993,['00000']
8.9,8.206131027966537,8.311584769274347,8.100677286658726,['00000']
9.0,8.114097711049041,8.220934942596102,8.00726047950198,['00000']
9.1,8.2259370839666,8.331570255353277,8.120303912579924,['00000']
9.2,8.162249695745661,8.268333781688202,8.05616560980312,['00000']
9.3,8.181186270126325,8.28721599341175,8.0751565468409,['00000']
9.4,8.23112734351728,8.335987312034462,8.126267375000097,['00000']
9.5,8.10542768288457,8.21285402439704,7.9980013413721025,['00000']
9.6,8.083468741951211,8.190440205983416,7.976497277919006,['00000']
9.700000000000001,8.149952224381702,8.255776323015805,8.044128125747598,['00000']
9.8,8.172767207221941,8.278374580107966,8.067159834335916,['00000']
9.9,8.18122764227553,8.286617076961114,8.075838207589946,['00000']
10.0,8.169044879070752,8.274860783671953,8.063228974469551,['00000']
10.1,8.140719712841145,8.246824188560906,8.034615237121384,['00000']
10.200000000000001,8.081131961876117,8.188014607732896,7.974249316019338,['00000']
10.3,8.090869039052226,8.198209850749876,7.983528227354576,['00000']
10.4,8.153745968429508,8.26063481627552,8.046857120583496,['00000']
10.5,8.194529452411869,8.300369531676331,8.088689373147407,['00000']
10.6,8.075725410940047,8.183628676538842,7.967822145341251,['00000']
10.700000000000001,8.23028713747251,8.335903221315267,8.124671053629754,['00000']
10.8,8.078783197816477,8.186374864562106,7.971191531070849,['00000']
10.9,8.162593461227036,8.26901965065128,8.056167271802792,['00000']
11.0,8.147713443882791,8.253645521799182,8.0417813659664,['00000']
11.1,8.125904769070274,8.233226549780865,8.018582988359684,['00000']
11.200000000000001,8.216296874193704,8.321599430800935,8.110994317586472,['00000']
11.3,8.21277564754892,8.318695235648995,8.106856059448845,['00000']
11.4,8.16899882166394,8.27520758287794,8.062790060449942,['00000']
11.5,8.214147680301773,8.32007785731416,8.108217503289385,['00000']
11.6,8.119217560871501,8.225816809526602,8.0126183122164,['00000']
11.700000000000001,8.162329666149002,8.268272164564044,8.056387167733961,['00000']
11.8,8.121414996788927,8.228030083639219,8.014799909938635,['00000']
11.9,8.106418580382005,8.212885187992738,7.999951972771273,['00000']
12.0,8.12781263503045,8.234726516786512,8.020898753274388,['00000']
12.1,8.059026718385168,8.166278812990662,7.9517746237796745,['00000']
12.200000000000001,8.112702106308436,8.220394111705502,8.00501010091137,['00000']
