solver,time,attacker,|Q|,|X|,|T|,rho,k,EU,Lower,Upper
SA_D,345,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,360,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,375,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,390,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,405,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,420,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,435,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,450,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,465,dd,10,10,30,0.95,10000,-14.518462137799643,-28.56955449135598,-0.46736978424330644
SA_D,480,dd,10,10,30,0.95,10000,-14.376051153055592,-28.249667667184205,-0.5024346389269763
SA_D,495,dd,10,10,30,0.95,10000,-14.376051153055592,-28.249667667184205,-0.5024346389269763
SA_D,510,dd,10,10,30,0.95,10000,-14.376051153055592,-28.249667667184205,-0.5024346389269763
SA_D,525,dd,10,10,30,0.95,10000,-14.231103933721272,-27.915590933123756,-0.5466169343187879
SA_D,540,dd,10,10,30,0.95,10000,-14.231103933721272,-27.915590933123756,-0.5466169343187879
SA_D,555,dd,10,10,30,0.95,10000,-14.231103933721272,-27.915590933123756,-0.5466169343187879
SA_D,570,dd,10,10,30,0.95,10000,-14.231103933721272,-27.915590933123756,-0.5466169343187879
SA_D,585,dd,10,10,30,0.95,10000,-14.231103933721272,-27.915590933123756,-0.5466169343187879
SA_D,600,dd,10,10,30,0.95,10000,-14.231103933721272,-27.915590933123756,-0.5466169343187879
SA_D,615,dd,10,10,30,0.95,10000,-14.231103933721272,-27.915590933123756,-0.5466169343187879
SA_D,630,dd,10,10,30,0.95,10000,-14.231103933721272,-27.915590933123756,-0.5466169343187879
SA_D,645,dd,10,10,30,0.95,10000,-14.231103933721272,-27.915590933123756,-0.5466169343187879
SA_D,660,dd,10,10,30,0.95,10000,-14.231103933721272,-27.915590933123756,-0.5466169343187879
SA_D,675,dd,10,10,30,0.95,10000,-14.231103933721272,-27.915590933123756,-0.5466169343187879
SA_D,690,dd,10,10,30,0.95,10000,-14.231103933721272,-27.915590933123756,-0.5466169343187879
SA_D,705,dd,10,10,30,0.95,10000,-14.129228313390692,-27.708297325785292,-0.5501593009960928
SA_D,720,dd,10,10,30,0.95,10000,-14.129228313390692,-27.708297325785292,-0.5501593009960928
SA_D,735,dd,10,10,30,0.95,10000,-14.129228313390692,-27.708297325785292,-0.5501593009960928
SA_D,750,dd,10,10,30,0.95,10000,-14.129228313390692,-27.708297325785292,-0.5501593009960928
SA_D,765,dd,10,10,30,0.95,10000,-13.933234285589979,-27.26078429293063,-0.6056842782493295
SA_D,780,dd,10,10,30,0.95,10000,-13.933234285589979,-27.26078429293063,-0.6056842782493295
SA_D,795,dd,10,10,30,0.95,10000,-13.933234285589979,-27.26078429293063,-0.6056842782493295
SA_D,810,dd,10,10,30,0.95,10000,-13.933234285589979,-27.26078429293063,-0.6056842782493295
SA_D,825,dd,10,10,30,0.95,10000,-13.933234285589979,-27.26078429293063,-0.6056842782493295
SA_D,840,dd,10,10,30,0.95,10000,-13.933234285589979,-27.26078429293063,-0.6056842782493295
SA_D,855,dd,10,10,30,0.95,10000,-13.933234285589979,-27.26078429293063,-0.6056842782493295
SA_D,870,dd,10,10,30,0.95,10000,-13.933234285589979,-27.26078429293063,-0.6056842782493295
SA_D,885,dd,10,10,30,0.95,10000,-13.933234285589979,-27.26078429293063,-0.6056842782493295
